module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,original_module,shown_in_revised_figure,audit_assessment,decision_reason,biological_role,published_evidence,experimental_context,interpretation_limit,evidence_location,citation,source_urls,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,in_full_orthology_survey,display_order,role,reference_key,reference,doi,source_url,published_fly_evidence
AMPK-associated genes,alc,225.455505852973,-0.249298892457399,0.194421102993808,-1.28226251481219,0.199750572845975,0.798736665859236,Below DE cutoffs,,,,,,,,Complex membership; transcript abundance does not measure kinase activity.,Abstract and subunit-depletion experiments,,,FBgn0260972,5564;5565,PRKAB1;PRKAB2,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,2,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true,2,AMPK beta subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Depleting the beta subunit by dsRNA abolished AMPK activity in Drosophila cells.
AMPK-associated genes,SNF4Agamma,284.458773526672,-0.246505774840913,0.21987397134132,-1.1211230385167,0.262235493315963,0.867833039575598,Below DE cutoffs,,,,,,,,Complex membership; transcript abundance does not measure kinase activity.,Abstract and subunit-depletion experiments,,,FBgn0264357,51422;53632;5571,PRKAG1;PRKAG2;PRKAG3,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,1,AMPK subunits,3,Catalytic alpha and regulatory beta/gamma subunits of the human AMPK complex.,https://www.kegg.jp/pathway/hsa04152,true,3,AMPK gamma subunit,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,Depleting the gamma subunit by dsRNA abolished AMPK activity in Drosophila cells.
AMPK-associated genes,Lkb1,0,NA,NA,NA,NA,NA,No fold-change estimate,,,,,,,,"Supports an upstream relationship in the tested tissue, not a universal transcriptional response.",Figure 7—figure supplement 1D–E and associated Results,,,FBgn0038167,6794,STK11,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,1,2,Upstream signalling,0,"Upstream kinases and cofactors, hormone/receptor signalling and the insulin/PI3K-Akt branch shown in the human map; not all are direct AMPK activators.",https://www.kegg.jp/pathway/hsa04152,true,4,Upstream regulator,Castanieto2014,"Castanieto, A., Johnston, M. J. and Nystul, T. G. (2014). EGFR signaling promotes self-renewal through the establishment of cell polarity in Drosophila follicle stem cells. eLife 3, e04437.",10.7554/eLife.04437,https://pmc.ncbi.nlm.nih.gov/articles/PMC4298699/,Phospho-AMPK staining was absent from Lkb1-mutant follicle stem-cell clones while detectable in neighboring wild-type cells.
AMPK-associated genes,Sesn,18.3803408344283,0.135302824013738,0.594207860074658,0.227702851316604,0.819877255636361,0.99686926944711,Not significant,,,,,,,,Sesn is a supported pathway-associated original member. It need not be removed merely because it is not an AMPK subunit.,AMPK/TOR rescue and signaling experiments.,,,,,,,,,,,,,,,false,5,Sestrin; AMPK–TOR feedback regulator,Lee2010,"Lee JH, Budanov AV, Park EJ, Birse R, Kim TE, Perkins GA, Ocorr K, Ellisman MH, Bodmer R, Bier E, Karin M. (2010). Sestrin as a feedback inhibitor of TOR that prevents age-related pathologies. Science (New York, N.Y.).",10.1126/science.1182228,https://pubmed.ncbi.nlm.nih.gov/20203043/,Fly Sestrin has experimental links to AMPK activation and TOR restraint. AMPK activation rescues dSesn phenotypes.
AMPK-associated genes,ACC,27.1910724540328,-0.147792125552419,0.501618527502906,-0.294630515918419,0.768276148076344,0.99515271483221,Below DE cutoffs,,,,,,,,Phosphorylation evidence; ACC mRNA is not an AMPK activity assay.,Abstract and ACC phosphorylation experiments,,,FBgn0033246,31;32,ACACA;ACACB,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,true,6,Metabolic effector,Pan2002,"Pan, D. A. and Hardie, D. G. (2002). A homologue of AMP-activated protein kinase in Drosophila melanogaster is sensitive to AMP and is activated by ATP depletion. Biochem. J. 367, 179–186.",10.1042/BJ20020703,https://pmc.ncbi.nlm.nih.gov/articles/PMC1222868/,The conserved AMPK-regulated ACC site became phosphorylated during oligomycin treatment or hypoxia in fly cells.
AMPK-associated genes,gig,0,NA,NA,NA,NA,NA,No fold-change estimate,,,,,,,,Direct substrate evidence; transcript abundance does not report phosphorylation.,Figures 3 and 4; sections 2.4 and 2.5,,,FBgn0005198,7249,TSC2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,7,TSC2 signaling mediator,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Fly TSC2 was phosphorylated by AMPK at Ser1338 in vitro; site mutation weakened growth suppression in flies.
AMPK-associated genes,S6k,420.141120123541,-0.64284633446694,0.257708757036854,-2.49446833649897,0.0126145980593078,0.201200210691208,Below DE cutoffs,,,,,,,,"Downstream TOR output, not asserted to be a direct AMPK substrate.",Figure 1c; section 2.2,,,FBgn0283472,6198;6199,RPS6KB1;RPS6KB2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,8,TOR-linked translation output,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,AMPK or TSC2 depletion increased S6K phosphorylation and weakened its inhibition during energy stress in S2 cells.
AMPK-associated genes,Thor,1.98313079629872,1.0673497011898,2.47485917822831,0.431276943181019,0.666267013211078,NA,Adjusted P unavailable,,,,,,,,A downstream phosphoprotein readout; the experiment does not establish direct AMPK phosphorylation of Thor.,Figure 1b; section 2.1,,,FBgn0261560,1978,EIF4EBP1,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,9,TOR-linked translation output,Kim2015,"Kim, M. and Lee, J. H. (2015). Identification of an AMPK phosphorylation site in Drosophila TSC2 (gigas) that regulate cell growth. Int. J. Mol. Sci. 16, 7015–7026.",10.3390/ijms16047015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4425001/,Energy depletion induced AMPK phosphorylation and reduced 4E-BP phosphorylation in fly cells.
AMPK-associated genes,Atg1,214.640455728683,-0.0509857756289528,0.249326770151893,-0.204493787802616,0.837967646045869,0.99686926944711,Below DE cutoffs,,,,,,,,Functional downstream connection; direct phosphorylation of fly Atg1 is not claimed.,Results on neuronal Atg1 and AMPK-mediated lifespan extension,,,FBgn0260945,8408,ULK1,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true,10,Autophagy mediator,Ulgherait2014,"Ulgherait, M., Rana, A., Rera, M., Graniel, J. and Walker, D. W. (2014). AMPK modulates tissue and organismal aging in a non-cell-autonomous manner. Cell Rep. 8, 1767–1780.",10.1016/j.celrep.2014.08.006,https://pmc.ncbi.nlm.nih.gov/articles/PMC4177313/,Neuronal Atg1 was required for AMPK-associated lifespan extension and mediated autophagy-related organismal effects.
AMPK-associated genes,Atg8a,1084.02343688805,-0.0978500482060776,0.179519046548487,-0.545067780201524,0.585706901425795,0.985837710662917,Not significant,,,,,,,,Supports a downstream response in that context. It is neither an AMPK subunit nor proof of direct phosphorylation.,"Intestinal autophagy-gene expression panel, 10-day-old flies.",,,,,,,,,,,,,,,false,11,Autophagy protein and reporter,Ulgherait2014,"Ulgherait M, Rana A, Rera M, Graniel J, Walker DW. (2014). AMPK modulates tissue and organismal aging in a non-cell-autonomous manner. Cell reports.",10.1016/j.celrep.2014.08.006,https://pubmed.ncbi.nlm.nih.gov/25199830/,Neuronal AMPK upregulation increases intestinal Atg8a transcript abundance.
Chromatin regulation,mor,12.6803337913038,0.53982870893723,0.738446695543051,0.73103273695367,0.464759157168241,0.976270910491313,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Moira; Brahma-complex subunit,MOR is molecularly characterized and physically associated with the fly Brahma complex.,D. melanogaster embryos; biochemical and genetic evidence.,Supports chromatin regulation. It is one of several different chromatin mechanisms represented.,MOR characterization and Brahma association.,Crosby MA et al. (1999),https://pubmed.ncbi.nlm.nih.gov/9891050/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,nej,11.5099732858055,0.461588827745528,0.748893434041397,0.616361162701839,0.537656179861668,0.981947296700208,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Nejire/CBP; transcriptional coactivator,nej is experimentally tested in fly zygotic transcription and chromatin regulation.,D. melanogaster embryos.,The cited study also shows catalytic-independent functions. Do not equate transcript levels with histone acetylation.,Perturbation and catalytic-function experiments.,Ciabrelli F et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37083536/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Su(var)3-9,39.2733116474244,0.375522766060051,0.395886669628276,0.948561279955838,0.342843791892787,0.927422299190393,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Histone H3K9 methyltransferase,Fly mutants lose heterochromatic H3K9 methylation and affect silencing.,D. melanogaster; chromatin and mutant assays.,Chromatin-silencing function is established. RNA abundance is not methyltransferase activity.,H3K9 methylation and heterochromatin experiments.,Schotta G et al. (2002),https://pubmed.ncbi.nlm.nih.gov/11867540/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,esc,44.0436270225853,0.268996641115904,0.398622988879804,0.674814671055046,0.499793518156395,0.981366694783537,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Noncatalytic PRC2 subunit,esc contributes to the activity of the fly ESC–E(Z) histone-methyltransferase complex.,Reconstituted D. melanogaster Polycomb-group complex.,Do not call this subunit the catalytic methyltransferase. E(Z) supplies that catalytic function.,Subunit-reconstitution and methyltransferase assays.,Ketel CS et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16055700/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Caf1-105,41.5273229933353,0.257643594876288,0.475135587389153,0.542252783657034,0.587644377624734,0.986976325248193,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,CAF-1 chromatin-assembly p105 subunit,The p105 subunit is characterized in fly CAF-1 chromatin assembly.,D. melanogaster proteins; reconstitution and interactions.,"These are CAF-1 subunits, not the unrelated use of Caf1 for other protein complexes.",CAF-1 subunit characterization and assembly assays.,Tyler JK et al. (2001),https://pubmed.ncbi.nlm.nih.gov/11533245/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Gcn5,268.43905066692,0.249860561560157,0.217348325831563,1.14958585765133,0.250314485754949,0.858089565879955,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Histone acetyltransferase/coactivator,Gcn5 is experimentally tested in fly zygotic transcription and chromatin regulation.,D. melanogaster embryos.,The cited study also shows catalytic-independent functions. Do not equate transcript levels with histone acetylation.,Perturbation and catalytic-function experiments.,Ciabrelli F et al. (2023),https://pubmed.ncbi.nlm.nih.gov/37083536/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Acf,298.459141078424,0.12360399256078,0.192304008080636,0.642753075167061,0.520384335846027,0.981947296700208,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,ACF chromatin-remodeling component,ACF/CHRAC perturbations establish nucleosome-remodeling and transcriptional-repression functions.,D. melanogaster cells and embryos.,Acf contributes to remodeling complexes. It is not the ATPase subunit ISWI.,ACF/CHRAC loss and chromatin/transcription assays.,Scacchetti A et al. (2018),https://pubmed.ncbi.nlm.nih.gov/30456345/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Snr1,257.301735071006,0.111292514419601,0.193684568586941,0.574607028487375,0.565557097547015,0.982326723065421,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,SNF5-related Brahma-complex subunit,Fly Snr1 genetics and biochemistry support its role in Brahma chromatin remodeling.,D. melanogaster developmental tissues.,"Supports a chromatin-regulation category, not a single shared pathway with every other listed gene.",snr1 mutant and Brahma-complex characterization.,Marenda DR et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12482982/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Caf1-180,98.4082594426642,0.0718008861557993,0.345680795015057,0.207708635224216,0.835456474793803,0.99686926944711,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,CAF-1 chromatin-assembly p180 subunit,The p180 subunit is characterized in fly CAF-1 chromatin assembly.,D. melanogaster proteins; reconstitution and interactions.,"These are CAF-1 subunits, not the unrelated use of Caf1 for other protein complexes.",CAF-1 subunit characterization and assembly assays.,Tyler JK et al. (2001),https://pubmed.ncbi.nlm.nih.gov/11533245/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Pc,212.424995592068,-0.00847422888407984,0.24423054913238,-0.0346976613457417,0.972320825781779,0.99773756738846,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Polycomb; methylated-histone reader,The fly Pc chromodomain recognizes H3K27 methylation in biochemical and chromatin assays.,D. melanogaster cells/chromosomes and purified domains.,Pc reads a repressive mark. It is not the enzyme that deposits H3K27 methylation.,"Methylated-peptide binding, structure and localization.",Fischle W et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12897054/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,HDAC1,406.147899852654,-0.00866838623412638,0.154798569914016,-0.0559978444176926,0.955343524374049,0.997029291296654,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Rpd3; histone deacetylase,Fly RPD3 associates with a Polycomb-group complex and contributes to silencing.,D. melanogaster embryos and chromosomes.,HDAC1/Rpd3 has multiple chromatin contexts. The paper does not assign it exclusively to PRC2.,"Coimmunoprecipitation, chromosomal localization and genetic interactions.",Tie F et al. (2003),https://pubmed.ncbi.nlm.nih.gov/12697833/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Su(z)12,11.2882526016719,-0.0156825247359634,0.7279142541326,-0.0215444671497072,0.982811332027809,0.998163820993216,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Noncatalytic PRC2 subunit,Su(z)12 contributes to the activity of the fly ESC–E(Z) histone-methyltransferase complex.,Reconstituted D. melanogaster Polycomb-group complex.,Do not call this subunit the catalytic methyltransferase. E(Z) supplies that catalytic function.,Subunit-reconstitution and methyltransferase assays.,Ketel CS et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16055700/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,HP1c,209.061652109563,-0.0979836139301138,0.241792119687228,-0.405239070888088,0.685301788130626,0.993668458911996,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Euchromatic HP1-family protein,HP1c interacts with Woc and is studied in transcription/chromatin regulation.,D. melanogaster; affinity purification and gene regulation.,Do not transfer all properties of heterochromatic HP1a to HP1c.,HP1c–Woc interaction and regulatory experiments.,Abel J et al. (2009),https://pubmed.ncbi.nlm.nih.gov/19352434/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,Chrac-14,26.5613232883585,-0.352848160053813,0.498454967095518,-0.707883727410418,0.479017465790787,0.980036929788676,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,CHRAC histone-fold subunit,Purification identifies CHRAC-14 as a subunit of active CHRAC; binding assays show interaction with CHRAC-16 and ISWI.,D. melanogaster embryo extracts and recombinant proteins.,Complex-specific subunit. Its presence does not make all 15 genes one chromatin complex.,"Corona et al., Results: purification, protein interactions and association with active CHRAC.",Corona DF et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10856248/,,,,,,,,,,,,,,,,,,,,
Chromatin regulation,His2Av,14.8465865098713,-1.47000763356707,0.694773281048388,-2.11580910444466,0.0343610464628313,0.352887000587976,Not significant,Chromatin,true,Supported,Retained with individual experimental publication support.,Histone H2Av variant,Phosphorylated H2Av associates with fly chromatin insulators and domain boundaries.,D. melanogaster polytene chromosomes and diploid cells.,The study examines protein modification/localization. His2Av RNA does not report gamma-H2Av abundance or DNA-break levels.,Chromatin localization and insulator-association results.,Simmons JR et al. (2022),https://pubmed.ncbi.nlm.nih.gov/36197938/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,mei-41,40.1593201401389,0.706222406498288,0.378844366689809,1.86414915620622,0.0623007611009069,0.487935372655842,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,ATR-related checkpoint kinase,mei-41 is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,Blm,84.7750954659998,0.454512495331318,0.322676728215116,1.40856918267843,0.158962596681209,0.71919000051886794,Not significant,Checkpoint,true,Broader label,Retained under the broader functional heading supported by the experiment.,Bloom-family helicase; DNA-break repair,Blm is perturbed in fly double-strand-break end-joining experiments.,D. melanogaster; P-element-induced DNA-break repair.,"The cited evidence is for repair, not an exclusive checkpoint-signaling role.",RNAi of DmBLM and Ku subunits in end joining.,Min B et al. (2004),https://pubmed.ncbi.nlm.nih.gov/15184650/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,mus304,46.8067963859867,0.24836038642429,0.358017758873442,0.693709684139117,0.48786429160241,0.980950988535372,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,DNA-damage checkpoint protein,mus304 is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,RecQ4,44.5651823873376,0.184188908498842,0.477876561019577,0.385431978722422,0.699917393674097,0.993668458911996,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,Replication and genome-maintenance helicase,"Fly studies establish a replication role, and an RNAi screen identifies RECQL4 among checkpoint-associated replication factors.",D. melanogaster developmental tissues and cultured-cell checkpoint screen.,Replication and checkpoint roles overlap. A screen hit alone does not establish a unique checkpoint mechanism.,"Xu et al., replication phenotypes; Kondo and Perrimon, pre-IC/checkpoint results.",Xu Y et al. (2009); Kondo S et al. (2011),"https://pubmed.ncbi.nlm.nih.gov/19572017/
https://pubmed.ncbi.nlm.nih.gov/21205937/",,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,grp,13.9976012070826,0.17707745046282,0.734744985408729,0.241005320185089,0.809550993134053,0.995422089238374,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,Grapes; Chk1-related checkpoint kinase,grp is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,tefu,139.406448625043,0.132686245464506,0.235222442082355,0.564088376474087,0.57269398815188,0.982326723065421,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,ATM checkpoint kinase,tefu is required for checkpoint arrest after low-dose X irradiation in flies.,D. melanogaster; irradiation and G2/M checkpoint assays.,The requirement is dose/context dependent. A normal response to high-dose irradiation does not exclude a checkpoint role.,Low-dose irradiation experiments (500 versus 4000 rad).,Bi X et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16020777/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,mre11,121.971158378592,-0.0384430479696482,0.281883718946424,-0.136379100266358,0.891521594871786,0.99686926944711,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,Mre11 DNA-break response factor,mre11 is required for checkpoint arrest after low-dose X irradiation in flies.,D. melanogaster; irradiation and G2/M checkpoint assays.,The requirement is dose/context dependent. A normal response to high-dose irradiation does not exclude a checkpoint role.,Low-dose irradiation experiments (500 versus 4000 rad).,Bi X et al. (2005),https://pubmed.ncbi.nlm.nih.gov/16020777/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,14-3-3epsilon,46.8418561002596,-0.261985538508115,0.39204208015509,-0.668258719585598,0.503968458861856,0.981947296700208,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,14-3-3 checkpoint-associated protein,14-3-3epsilon is experimentally required for a fly DNA-damage checkpoint in the cited study.,D. melanogaster developing eye.,A functional checkpoint role does not imply that its RNA level measures checkpoint activation.,Developing-eye DNA-damage checkpoint assays.,Brodsky MH et al. (2000),https://pubmed.ncbi.nlm.nih.gov/10733527/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,mus101,41.1305622015975,-0.367400417417145,0.394792879915591,-0.930615611648561,0.35205243597518,0.931477275596502,Not significant,Checkpoint,true,Supported,Retained with individual experimental publication support.,TopBP1-related replication/checkpoint factor,Fly mus101 alleles separate replication and DNA-damage checkpoint functions.,D. melanogaster RNAi screen and mutant analysis.,A dual-function factor. Preserve the distinction between replication and checkpoint-associated domains.,"mus101 allele/domain analysis, Fig. 2C.",Kondo S et al. (2011),https://pubmed.ncbi.nlm.nih.gov/21205937/,,,,,,,,,,,,,,,,,,,,
DNA repair/checkpoints,Ku80,127.533043810451,-0.489986141685148,0.286909591645593,-1.70780676545107,0.0876722033346582,0.562786695655837,Not significant,Checkpoint,true,Broader label,Retained under the broader functional heading supported by the experiment.,Ku DNA-end-binding repair subunit,Ku80 is perturbed in fly double-strand-break end-joining experiments.,D. melanogaster; P-element-induced DNA-break repair.,"The cited evidence is for repair, not an exclusive checkpoint-signaling role.",RNAi of DmBLM and Ku subunits in end joining.,Min B et al. (2004),https://pubmed.ncbi.nlm.nih.gov/15184650/,,,,,,,,,,,,,,,,,,,,
