module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status,flybase_id,human_entrez_ids,human_symbols,diopt_confidence_levels,mapping_rule,source,display_column,component_group_order,component_group,subunit_display_order,grouping_rationale,grouping_reference,shown_in_focused_panel
Fly homologs of human AMPK-pathway genes,Rab2,305.785802787231,-0.203128785896694,0.191213070805227,-1.06231642555233,0.288092060068781,0.894873162292822,Below DE cutoffs,FBgn0014009,5862,RAB2A,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab8,24.8342077438836,-0.141313254657335,0.508629890493553,-0.277831203589334,0.781141936805647,0.995422089238374,Below DE cutoffs,FBgn0262518,10890;4218,RAB10;RAB8A,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab9D,0.653829306764156,-2.85579459231777,3.97372161423364,-0.718670020086077,0.472344259497883,NA,Adjusted P unavailable,FBgn0067052,10890;4218,RAB10;RAB8A,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab9Db,0.3380256725725,1.87901463816714,4.03439134115968,0.465749224423782,0.641395013528911,NA,Adjusted P unavailable,FBgn0030221,10890;4218,RAB10;RAB8A,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab9E,1.63567719877931,4.15943448018615,2.32854036411691,1.78628403625015,0.0740532803271687,NA,Adjusted P unavailable,FBgn0052673,10890;4218,RAB10;RAB8A,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Rab9Fb,1.54640568214351,4.07625225077968,3.93417835805735,1.03611272285898,0.300149557328393,NA,Adjusted P unavailable,FBgn0052670,10890;4218,RAB10;RAB8A,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,sut1,477.989144902272,0.258011725880668,0.149255669512331,1.72865611553437,0.0838706599341758,0.552484981126971,Below DE cutoffs,FBgn0028563,6517,SLC2A4,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,sut2,30.5938276149429,0.539034032503559,0.516873719346925,1.04287374715943,0.297006769937467,0.899233913516213,Below DE cutoffs,FBgn0028562,6517,SLC2A4,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,sut3,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0028561,6517,SLC2A4,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,2,GLUT / TBC1D1 / Rab-related,0,"Human GLUT4, TBC1D1 and Rab components associated with the glucose-transporter trafficking branch.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Cftr,22.7111759918288,0.103553942886223,0.636479806166005,0.162697923615214,0.870756281922322,0.99686926944711,Below DE cutoffs,FBgn0039207,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG10505,80.2105981184156,-0.301834284960557,0.497757109838108,-0.606388696404007,0.544256672744696,0.981947296700208,Below DE cutoffs,FBgn0034612,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG11898,13.1966474982221,1.48405766413665,0.853369532276826,1.73905630328414,0.0820248597815625,0.547517774871379,Below DE cutoffs,FBgn0039645,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG31792,1.19693831550786,0.428443604845173,2.87542997194449,0.149001578555377,0.881552387363686,NA,Adjusted P unavailable,FBgn0051792,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG31793,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0051793,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG7627,1.8413739020719,1.45425701852527,2.12166986022135,0.685430398852701,0.49307236696262,NA,Adjusted P unavailable,FBgn0032026,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG9270,46.8661261369911,0.0523303686355924,0.65836610954587,0.0794852102452372,0.936646694906077,0.997029291296654,Below DE cutoffs,FBgn0032908,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,l(2)03659,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0010549,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Mrp4,1038.96522502732,0.0566046441137411,0.128323423779553,0.441109210201423,0.65913393608498,0.992227812506708,Below DE cutoffs,FBgn0263316,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Mrp5,15.3776015026095,-0.454536765323244,0.639337181805309,-0.710949993616452,0.477115224317473,0.978867857027982,Below DE cutoffs,FBgn0038740,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,rdog,0.335505236474545,-1.88972291176553,4.03653052858157,-0.468155238362479,0.639673579508285,NA,Adjusted P unavailable,FBgn0039644,1080,CFTR,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,2,3,CFTR-related proteins,0,Fly proteins mapped to the human CFTR component; this family label does not imply that every fly match is a CFTR chloride channel.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,ACC,27.1910724540328,-0.147792125552419,0.501618527502906,-0.294630515918419,0.768276148076344,0.99515271483221,Below DE cutoffs,FBgn0033246,31;32,ACACA;ACACB,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,CG15531,1835.55606558506,-0.467409811406446,0.185615305666855,-2.518164166081,0.0117968322690371,0.197213411206145,Below DE cutoffs,FBgn0039755,6319;79966,SCD;SCD5,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG8630,5586.14989073709,-0.215979148942859,0.141378087117853,-1.52767061251026,0.126594340074222,0.656513662487624,Below DE cutoffs,FBgn0038130,6319;79966,SCD;SCD5,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG9743,495.902690508212,0.131891314064845,0.199664545226275,0.660564517928686,0.50889163010074,0.981947296700208,Below DE cutoffs,FBgn0039756,6319;79966,SCD;SCD5,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG9747,0.656802778910635,1.47821626197531,3.31863917952443,0.445428436780869,0.656010165629495,NA,Adjusted P unavailable,FBgn0039754,6319;79966,SCD;SCD5,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Desat1,44.1913058332102,-0.755079929865883,0.562088179455568,-1.34334781883733,0.179159374901741,0.762630811213423,Below DE cutoffs,FBgn0086687,6319;79966,SCD;SCD5,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Desat2,2.99222473823147,-0.0350885849205762,1.56051352791192,-0.0224852808341413,0.982060853225645,NA,Adjusted P unavailable,FBgn0043043,6319;79966,SCD;SCD5,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Fad2,3.15307663597327,3.12238070207134,1.81458334451705,1.72071495724125,0.0853025608614075,NA,Adjusted P unavailable,FBgn0029172,6319;79966,SCD;SCD5,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,FASN1,6.95081729884274,-0.124509301240592,1.16854335265976,-0.106550861769221,0.915145303191823,0.997029291296654,Below DE cutoffs,FBgn0283427,2194,FASN,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,FASN2,27.1917133190457,-0.320115934050942,0.521743959100711,-0.613549861895288,0.539512823938351,0.981947296700208,Below DE cutoffs,FBgn0042627,2194,FASN,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,FASN3,330.182329766277,0.0857152393770538,0.250984684589417,0.341515816063735,0.732715300314788,0.99417184827796,Below DE cutoffs,FBgn0287184,2194,FASN,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Hmgcr,732.810340891356,0.141372125359332,0.15778624573288,0.895972425877122,0.370267490351531,0.938777020511877,Below DE cutoffs,FBgn0263782,3156,HMGCR,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Hsl,2.93906687567576,-0.0231978408057047,1.51313301502034,-0.0153309990433279,0.987768111726404,NA,Adjusted P unavailable,FBgn0034491,3991,LIPE,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,whd,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0261862,126129;1374;1375,CPT1A;CPT1B;CPT1C,high;moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,1,Lipid metabolic enzymes,0,"Human enzymes involved in fatty-acid synthesis, desaturation or oxidation, lipolysis, and cholesterol synthesis.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG10345,620.12952978736,0.494104943641505,0.82142980529606,0.601518158284286,0.547494921176392,0.982021324378881,Below DE cutoffs,FBgn0027562,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG31741,5.87894706258517,-4.07360667387755,1.67167031713928,-2.43684812257042,0.0148159006888189,0.2166026579134,Below DE cutoffs,FBgn0051741,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG3829,770.15816517666,-0.349355233967176,0.437990342181057,-0.797632277066875,0.425083914604545,0.95575469917838,Below DE cutoffs,FBgn0035091,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG40006,1912.73611520155,0.193873900039791,0.757642370479748,0.255891047800069,0.798034967367284,0.995422089238374,Below DE cutoffs,FBgn0058006,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,CG7227,4.3134304567194,-0.947542109044454,1.10946845661015,-0.854050517073333,0.393076999577059,NA,Adjusted P unavailable,FBgn0031970,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,crq,9.84976625087965,0.872130402269209,1.00696809666789,0.866095366035065,0.386437866209115,0.941287399691331,Below DE cutoffs,FBgn0015924,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,dsb,1.30713724756488,-0.851687424300743,2.72771766378945,-0.312234449923805,0.754862352632742,NA,Adjusted P unavailable,FBgn0035290,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,emp,139.92401137684,-0.0545378428101487,0.378359396244044,-0.144142958656619,0.88538758280506,0.99686926944711,Below DE cutoffs,FBgn0010435,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,ninaD,763.167259790893,-0.844118316207941,0.229624892827192,-3.67607494908315,0.000236849964541087,0.0127967633015822,Down in CS,FBgn0002939,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,pes,19.8424572535559,0.285961168989963,0.530058036658154,0.539490299577112,0.589548588557104,0.986976325248193,Below DE cutoffs,FBgn0031969,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,santa-maria,22.6992276684515,0.933449655433728,0.519308212138384,1.79748679804236,0.072258372141233,0.517042632135349,Below DE cutoffs,FBgn0025697,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Snmp1,8.16219547535592,0.764285516467339,0.918936074409715,0.831706946490575,0.405574378745692,0.948842977071817,Below DE cutoffs,FBgn0260004,948,CD36,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Snmp2,58.3958884064763,0.287840341877875,0.371874658057207,0.774025160471126,0.438915912491299,0.964996162540788,Below DE cutoffs,FBgn0035815,948,CD36,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,2,CD36-related proteins,0,Fly proteins mapped to the human CD36 lipid-transport component; family members can have additional or different fly functions.,https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Drep1,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0024732,1149,CIDEA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,3,CIDEA-related proteins,0,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Drep2,87.6322982737094,-0.308986834584507,0.297854423125769,-1.03737534377335,0.299560964596654,0.899233913516213,Below DE cutoffs,FBgn0028408,1149,CIDEA,moderate,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,3,CIDEA-related proteins,0,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Drep3,1.00186631171482,-0.013783124426949,3.64928285884601,-0.00377694055519379,0.996986444608811,NA,Adjusted P unavailable,FBgn0028407,1149,CIDEA,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,3,3,CIDEA-related proteins,0,"Fly proteins mapped to human CIDEA, shown in the map as an AMPK-linked regulator; fly Drep family membership does not establish a lipid-storage function.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,Atg1,214.640455728683,-0.0509857756289528,0.249326770151893,-0.204493787802616,0.837967646045869,0.99686926944711,Below DE cutoffs,FBgn0260945,8408,ULK1,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,eEF2,69.7545527813308,-0.306494399650641,0.340498519310424,-0.90013430975075,0.368048779326322,0.938777020511877,Below DE cutoffs,FBgn0000559,1938,EEF2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,false
Fly homologs of human AMPK-pathway genes,gig,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0005198,7249,TSC2,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,true
Fly homologs of human AMPK-pathway genes,mTor,0,NA,NA,NA,NA,NA,No fold-change estimate,FBgn0021796,2475,MTOR,high,"Exact canonical symbol in DIOPT, org.Dm.eg.db 3.19.1 and archived DE table",KEGG hsa04152; DIOPT 9.1 high/moderate confidence,4,1,mTOR / translation / autophagy,0,"Human mTOR complex/regulators, translation effectors and ULK1 autophagy initiator.",https://www.kegg.jp/pathway/hsa04152,false
